"자치구별(1)",자치구별(2),자동차등록대수 (대),주차면수 (면수),주차장확보율 (%)
"총계",총합,3191159,4548788,142.5
"총계",종로구,50767,91438,180.1
"총계",중구,54774,109811,200.5
"총계",용산구,74769,104364,139.6
"총계",성동구,104416,122280,117.1
"총계",광진구,97627,137248,140.6
"총계",동대문구,102637,152281,148.4
"총계",중랑구,116428,132589,113.9
"총계",성북구,122505,156021,127.4
"총계",강북구,74549,95891,128.6
"총계",도봉구,95127,119578,125.7
"총계",노원구,152510,178931,117.3
"총계",은평구,135169,192333,142.3
"총계",서대문구,91649,136485,148.9
"총계",마포구,122307,198123,162.0
"총계",양천구,151409,178275,117.7
"총계",강서구,205821,319084,155.0
"총계",구로구,147818,188165,127.3
"총계",금천구,92139,156154,169.5
"총계",영등포구,144662,203842,140.9
"총계",동작구,106496,135887,127.6
"총계",관악구,118303,155338,131.3
"총계",서초구,177102,311425,175.8
"총계",강남구,253856,420589,165.7
"총계",송파구,244299,339331,138.9
"총계",강동구,154020,213325,138.5
